Class,Path,Number
Polychatea sp1,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Annelida/Polychaeta/Polychatea sp1,0
Sagittoidea sp1,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1,1
Bythotiaridae spp,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Cnidaria/Hydrozoa/Bythotiaridae/Bythotiaridae spp,2
Undetermined hydrozoa,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Cnidaria/Hydrozoa/Undetermined hydrozoa,3
Cladocera sp1,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Crustacea/Branchiopoda/Cladocera/Cladocera sp1,4
Evadne spp,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Crustacea/Branchiopoda/Cladocera/Evadne spp,5
Calanoida spp 1-3,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Crustacea/Copepoda/Calanoida/Calanoida 1-3/Calanoida spp 1-3,6
Calanus spp,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Crustacea/Copepoda/Calanoida/Calanoida 4-6/Calanus spp,7
Centropages sp,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Crustacea/Copepoda/Calanoida/Calanoida 4-6/Centropages sp,8
Metridia sp,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Crustacea/Copepoda/Calanoida/Calanoida 4-6/Metridia sp,9
Microcalanus spp,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Crustacea/Copepoda/Calanoida/Calanoida 4-6/Microcalanus spp,10
Pseudo-Paracalanus spp,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Crustacea/Copepoda/Calanoida/Calanoida 4-6/Pseudo-Paracalanus spp,11
Temora spp,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Crustacea/Copepoda/Calanoida/Calanoida 4-6/Temora spp,12
Oithona sp,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Crustacea/Copepoda/Cyclopoida/Oithona/Oithona sp,13
Undetermined copepodites,/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Crustacea/Copepoda/Undetermined copepodites,14
