Filepath,Class
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Annelida/Polychaeta/Polychatea sp1/CAV003.2020-05-19.080.A1+T1_4366.jpg,Polychatea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Annelida/Polychaeta/Polychatea sp1/CAV003.2020-05-19.080.A1+T1_29.jpg,Polychatea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Annelida/Polychaeta/Polychatea sp1/CAV003.2020-05-19.080.A1+T1_4307.jpg,Polychatea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Annelida/Polychaeta/Polychatea sp1/CAV003.2020-05-19.080.A1+T1_2520.jpg,Polychatea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Annelida/Polychaeta/Polychatea sp1/CTO002.2020-08-25.050.A1+t1_22612.jpg,Polychatea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Annelida/Polychaeta/Polychatea sp1/CTO002.2020-09-18.050.A2+T1_9828.jpg,Polychatea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_20847.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_12115.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_3993.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_601.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_203.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_1727.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_3545.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN036.2019-03-15.001.A1+A1_2566.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A2+T1_2262.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_2178.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/SKB016.2020-04-28.200.W1+V1_1461.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/SKB016.2020-04-28.200.W1+V1_100.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-18.050.A1+T1_21953.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_4909.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_10337.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_5349.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_31374.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_6137.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-18.050.A1+T1_22441.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_13301.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN030.2019-03-20.004.A1+A1_3697.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_23268.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN032.2019-03-18.008.A1+A1_5986.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_26375.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_5455.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_28430.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_6657.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_14706.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_23270.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_3561.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_4725.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_1428.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_25402.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN028.2019-03-21.003.A1+A1_3179.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN030.2019-03-20.004.A1+A1_5446.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_5363.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_2548.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN032.2019-03-18.008.A1+A1_385.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN030.2019-03-20.004.A1+A1_1580.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_11925.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A2+T1_3337.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/SKB016.2020-04-28.200.W1+V1_512.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_12236.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_10674.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_19400.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_14550.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN028.2019-03-21.003.A1+A1_4992.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_29331.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_925.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_12419.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_5961.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN028.2019-03-21.003.A1+A1_4186.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN030.2019-03-20.004.A1+A1_421.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN028.2019-03-21.003.A1+A1_1640.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_2551.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/SKB016.2020-04-28.200.W1+V1_96.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_1897.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-08-25.050.A1+t1_14839.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_1391.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_13754.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_9105.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_2153.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN032.2019-03-18.008.A1+A1_5733.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN028.2019-03-21.003.A1+A1_2505.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-04-21.050.A2+T1_25228.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/SKB010.2020-04-26.200.W2+V1_279.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/AAN028.2019-03-21.003.A1+A1_6595.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_2947.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/SKB010.2020-04-26.200.W2+V1_1519.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A2+T1_3449.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CTO002.2020-09-18.050.A2+T1_15914.jpg,Sagittoidea sp1
/DATA_init/plankton_datasets/MesoZ/Mesozooplankton/Chaetognata/Sagittoidea/Sagittoidea sp1/CAV003.2020-05-19.080.A1+T1_906.jpg,Sagittoidea sp1
