Class,Path,Number
Copepoda sp1,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp1,0
Copepoda sp2,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp2,1
Copepoda spp,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp,2
Oithona sp,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Oithona sp,3
Temora sp,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp,4
Nauplius spp1,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp1,5
Nauplius spp2,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp2,6
Nauplius spp4,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp4,7
Nauplius spp5,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp5,8
Nauplius spp6,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Crustacea incertae sedis/Nauplius spp/Nauplius spp6,9
Pediveliger,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Mollusca/Gastropoda/Gastroppoda spp/Pediveliger,10
Trochophore larvae,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Mollusca/Gastropoda/Gastroppoda spp/Trochophore larvae,11
Unknown gastropoda,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Mollusca/Gastropoda/Gastroppoda spp/Unknown gastropoda,12
Veliger larvae,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Mollusca/Gastropoda/Gastroppoda spp/Veliger larvae,13
Undetrermined egg,/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Undetrermined egg,14
Choreotrichida spp,/DATA_init/plankton_datasets/MicroL/Microplankton/Ciliophora/Oligotrichea/Choreotrichida/Choreotrichida spp,15
Eutintinnus apertus,/DATA_init/plankton_datasets/MicroL/Microplankton/Ciliophora/Oligotrichea/Choreotrichida/Eutintinnus/Eutintinnus apertus,16
Favella sp,/DATA_init/plankton_datasets/MicroL/Microplankton/Ciliophora/Oligotrichea/Choreotrichida/Favella/Favella sp,17
Leegaardiella sp,/DATA_init/plankton_datasets/MicroL/Microplankton/Ciliophora/Oligotrichea/Choreotrichida/Leegardiella/Leegaardiella sp,18
