Filepath,Class
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp1/FVB075.2019-11-26.001.A1+A1_1135.jpg,Copepoda sp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp1/FVB051.2019-10-18.001.A1+A1_10361.jpg,Copepoda sp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp1/FVB048.2019-10-17.001.A1+A1_11886.jpg,Copepoda sp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp1/FVB045.2019-10-16.001.A1+A1_10093.jpg,Copepoda sp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp1/FVB075.2019-11-26.001.A1+A1_3952.jpg,Copepoda sp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp1/FVB051.2019-10-18.001.A1+A1_2033.jpg,Copepoda sp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp1/FVB077.2019-12-02.001.A1+A1_631.jpg,Copepoda sp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp1/FVB048.2019-10-17.001.A1+A1_9755.jpg,Copepoda sp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp1/FVB075.2019-11-26.001.A1+A1_11281.jpg,Copepoda sp1
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp2/FVB048.2019-10-17.001.A1+A1_8876.jpg,Copepoda sp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp2/FVB048.2019-10-17.001.A1+A1_11942.jpg,Copepoda sp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp2/FVB061.2019-11-08.001.A1+A1_14429.jpg,Copepoda sp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp2/FVB048.2019-10-17.001.A1+A1_7905.jpg,Copepoda sp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp2/FVB045.2019-10-16.001.A1+A1_6431.jpg,Copepoda sp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp2/FVB048.2019-10-17.001.A1+A1_10409.jpg,Copepoda sp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp2/CBR001.2020-09-22.005.T1+L1_3295.jpg,Copepoda sp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp2/FVB061.2019-11-08.001.A1+A1_195.jpg,Copepoda sp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp2/FVB048.2019-10-17.001.A1+A1_8535.jpg,Copepoda sp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda sp2/FVB045.2019-10-16.001.A1+A1_9565.jpg,Copepoda sp2
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB048.2019-10-17.001.A1+A1_6917.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB047.2019-10-17.001.A1+A1_17612.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB051.2019-10-18.001.A1+A1_31632.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB048.2019-10-17.001.A1+A1_11546.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB003.2019-06-06.001.A1+A1_5861.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB011.2019-06-25.001.A1+A1_21538.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB005.2019-06-12.001.A1+A1_264.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB051.2019-10-18.001.A1+A1_18439.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB048.2019-10-17.001.A1+A1_5200.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB048.2019-10-17.001.A1+A1_12912.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/CBR001.2020-09-18.006.T1+L2_2091.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB051.2019-10-18.001.A1+A1_24613.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB061.2019-11-08.001.A1+A1_15759.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB045.2019-10-16.001.A1+A1_5692.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB003.2019-06-06.001.A1+A1_5673.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Copepoda spp/FVB068.2019-11-18.001.A1+A1_12605.jpg,Copepoda spp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Oithona sp/FVB011.2019-06-25.001.A1+A1_33038.jpg,Oithona sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Oithona sp/FVB011.2019-06-25.001.A1+A1_23252.jpg,Oithona sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Oithona sp/FVB003.2019-06-06.001.A1+A1_6911.jpg,Oithona sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Oithona sp/FVB003.2019-06-06.001.A1+A1_2228.jpg,Oithona sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB051.2019-10-18.001.A1+A1_31407.jpg,Temora sp
/DATA_init/plankton_datasets/MicroL/Mesozooplankton/Crustacea/Copepoda/Temora sp/FVB048.2019-10-17.001.A1+A1_4112.jpg,Temora sp
