Filepath,Class
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Eutintinnus/Eutintinnus sp/FBN017.2019-12-02.001.A1+A1_20.jpg,Eutintinnus sp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Eutintinnus/Eutintinnus sp/FBN012.2019-11-10.001.A1+A1_12.jpg,Eutintinnus sp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Eutintinnus/Eutintinnus sp/FBN012.2019-11-10.001.A1+A1_14.jpg,Eutintinnus sp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Leegardiella/Leegardiella sp/NBR001.2021-07-02.001.C2+L1_4866.jpg,Leegardiella sp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Leegardiella/Leegardiella sp/NBR001.2021-07-02.001.C2+L1_3277.jpg,Leegardiella sp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Leegardiella/Leegardiella sp/NBR001.2021-07-02.001.C2+L1_7996.jpg,Leegardiella sp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Leegardiella/Leegardiella sp/FBN014.2019-11-25.001.A1+A1_12.jpg,Leegardiella sp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Leegardiella/Leegardiella sp/NBR001.2021-07-02.001.C2+L1_5742.jpg,Leegardiella sp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Leegardiella/Leegardiella sp/NBR001.2021-07-02.001.C2+L1_7721.jpg,Leegardiella sp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Leegardiella/Leegardiella sp/NBR001.2021-07-02.001.C2+L1_8248.jpg,Leegardiella sp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Leegardiella/Leegardiella sp/NBR001.2021-07-02.001.C2+L1_5861.jpg,Leegardiella sp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Leegardiella/Leegardiella sp/NBR001.2021-07-02.001.C2+L1_5365.jpg,Leegardiella sp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_19.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_86.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/CBR001.2021-04-26.003.B1+L1_7206.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_7.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_22.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/CBR001.2021-04-26.003.B1+L1_6083.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_48.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_34.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_41.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/CBR001.2021-04-26.003.B1+L1_1654.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_80.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_132.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/CBR001.2021-05-10.001.B1+L1_8740.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/CBR001.2021-05-10.001.B1+L1_1998.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_16.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_75.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_72.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/CBR001.2021-04-26.003.B1+L1_6204.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_40.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/CBR001.2021-04-26.003.B1+L1_6860.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_43.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_155.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/FBN005.2019-09-03.001.A1+A1_20.jpg,Lohmanniella spp
/DATA_init/plankton_datasets/MicroS/Ciliophora/Oligotrichea/Choreotrichida/Lohmanniella/Lohmanniella spp/CBR001.2021-04-26.003.B1+L1_5956.jpg,Lohmanniella spp
