Class,Path,Number
0295,/DATA_init/nabirds/images_128/0295,0
0296,/DATA_init/nabirds/images_128/0296,1
0297,/DATA_init/nabirds/images_128/0297,2
0298,/DATA_init/nabirds/images_128/0298,3
0299,/DATA_init/nabirds/images_128/0299,4
0313,/DATA_init/nabirds/images_128/0313,5
0314,/DATA_init/nabirds/images_128/0314,6
0315,/DATA_init/nabirds/images_128/0315,7
0316,/DATA_init/nabirds/images_128/0316,8
0317,/DATA_init/nabirds/images_128/0317,9
0318,/DATA_init/nabirds/images_128/0318,10
0319,/DATA_init/nabirds/images_128/0319,11
0320,/DATA_init/nabirds/images_128/0320,12
0321,/DATA_init/nabirds/images_128/0321,13
0322,/DATA_init/nabirds/images_128/0322,14
0323,/DATA_init/nabirds/images_128/0323,15
0324,/DATA_init/nabirds/images_128/0324,16
0325,/DATA_init/nabirds/images_128/0325,17
0326,/DATA_init/nabirds/images_128/0326,18
0327,/DATA_init/nabirds/images_128/0327,19
0328,/DATA_init/nabirds/images_128/0328,20
0329,/DATA_init/nabirds/images_128/0329,21
0330,/DATA_init/nabirds/images_128/0330,22
0331,/DATA_init/nabirds/images_128/0331,23
0332,/DATA_init/nabirds/images_128/0332,24
0333,/DATA_init/nabirds/images_128/0333,25
0334,/DATA_init/nabirds/images_128/0334,26
0335,/DATA_init/nabirds/images_128/0335,27
0336,/DATA_init/nabirds/images_128/0336,28
0337,/DATA_init/nabirds/images_128/0337,29
0338,/DATA_init/nabirds/images_128/0338,30
0339,/DATA_init/nabirds/images_128/0339,31
0340,/DATA_init/nabirds/images_128/0340,32
0341,/DATA_init/nabirds/images_128/0341,33
0342,/DATA_init/nabirds/images_128/0342,34
0343,/DATA_init/nabirds/images_128/0343,35
0344,/DATA_init/nabirds/images_128/0344,36
0345,/DATA_init/nabirds/images_128/0345,37
0346,/DATA_init/nabirds/images_128/0346,38
0347,/DATA_init/nabirds/images_128/0347,39
0348,/DATA_init/nabirds/images_128/0348,40
0349,/DATA_init/nabirds/images_128/0349,41
0350,/DATA_init/nabirds/images_128/0350,42
0351,/DATA_init/nabirds/images_128/0351,43
0352,/DATA_init/nabirds/images_128/0352,44
0353,/DATA_init/nabirds/images_128/0353,45
0354,/DATA_init/nabirds/images_128/0354,46
0355,/DATA_init/nabirds/images_128/0355,47
0356,/DATA_init/nabirds/images_128/0356,48
0357,/DATA_init/nabirds/images_128/0357,49
0358,/DATA_init/nabirds/images_128/0358,50
0359,/DATA_init/nabirds/images_128/0359,51
0360,/DATA_init/nabirds/images_128/0360,52
0361,/DATA_init/nabirds/images_128/0361,53
0362,/DATA_init/nabirds/images_128/0362,54
0363,/DATA_init/nabirds/images_128/0363,55
0364,/DATA_init/nabirds/images_128/0364,56
0365,/DATA_init/nabirds/images_128/0365,57
0366,/DATA_init/nabirds/images_128/0366,58
0367,/DATA_init/nabirds/images_128/0367,59
0368,/DATA_init/nabirds/images_128/0368,60
0369,/DATA_init/nabirds/images_128/0369,61
0370,/DATA_init/nabirds/images_128/0370,62
0371,/DATA_init/nabirds/images_128/0371,63
0372,/DATA_init/nabirds/images_128/0372,64
0373,/DATA_init/nabirds/images_128/0373,65
0374,/DATA_init/nabirds/images_128/0374,66
0375,/DATA_init/nabirds/images_128/0375,67
0376,/DATA_init/nabirds/images_128/0376,68
0377,/DATA_init/nabirds/images_128/0377,69
0378,/DATA_init/nabirds/images_128/0378,70
0379,/DATA_init/nabirds/images_128/0379,71
0380,/DATA_init/nabirds/images_128/0380,72
0381,/DATA_init/nabirds/images_128/0381,73
0382,/DATA_init/nabirds/images_128/0382,74
0392,/DATA_init/nabirds/images_128/0392,75
0393,/DATA_init/nabirds/images_128/0393,76
0394,/DATA_init/nabirds/images_128/0394,77
0395,/DATA_init/nabirds/images_128/0395,78
0396,/DATA_init/nabirds/images_128/0396,79
0397,/DATA_init/nabirds/images_128/0397,80
0398,/DATA_init/nabirds/images_128/0398,81
0399,/DATA_init/nabirds/images_128/0399,82
0400,/DATA_init/nabirds/images_128/0400,83
0401,/DATA_init/nabirds/images_128/0401,84
0402,/DATA_init/nabirds/images_128/0402,85
0446,/DATA_init/nabirds/images_128/0446,86
0447,/DATA_init/nabirds/images_128/0447,87
0448,/DATA_init/nabirds/images_128/0448,88
0449,/DATA_init/nabirds/images_128/0449,89
0450,/DATA_init/nabirds/images_128/0450,90
0451,/DATA_init/nabirds/images_128/0451,91
0452,/DATA_init/nabirds/images_128/0452,92
0453,/DATA_init/nabirds/images_128/0453,93
0454,/DATA_init/nabirds/images_128/0454,94
0455,/DATA_init/nabirds/images_128/0455,95
0456,/DATA_init/nabirds/images_128/0456,96
0457,/DATA_init/nabirds/images_128/0457,97
0458,/DATA_init/nabirds/images_128/0458,98
0459,/DATA_init/nabirds/images_128/0459,99
0460,/DATA_init/nabirds/images_128/0460,100
0461,/DATA_init/nabirds/images_128/0461,101
0462,/DATA_init/nabirds/images_128/0462,102
0463,/DATA_init/nabirds/images_128/0463,103
0464,/DATA_init/nabirds/images_128/0464,104
0465,/DATA_init/nabirds/images_128/0465,105
0466,/DATA_init/nabirds/images_128/0466,106
0467,/DATA_init/nabirds/images_128/0467,107
0468,/DATA_init/nabirds/images_128/0468,108
0469,/DATA_init/nabirds/images_128/0469,109
0470,/DATA_init/nabirds/images_128/0470,110
0471,/DATA_init/nabirds/images_128/0471,111
0472,/DATA_init/nabirds/images_128/0472,112
0473,/DATA_init/nabirds/images_128/0473,113
0474,/DATA_init/nabirds/images_128/0474,114
0475,/DATA_init/nabirds/images_128/0475,115
0476,/DATA_init/nabirds/images_128/0476,116
0477,/DATA_init/nabirds/images_128/0477,117
0478,/DATA_init/nabirds/images_128/0478,118
0479,/DATA_init/nabirds/images_128/0479,119
0480,/DATA_init/nabirds/images_128/0480,120
0481,/DATA_init/nabirds/images_128/0481,121
0482,/DATA_init/nabirds/images_128/0482,122
0483,/DATA_init/nabirds/images_128/0483,123
0484,/DATA_init/nabirds/images_128/0484,124
0485,/DATA_init/nabirds/images_128/0485,125
0486,/DATA_init/nabirds/images_128/0486,126
0487,/DATA_init/nabirds/images_128/0487,127
0488,/DATA_init/nabirds/images_128/0488,128
0489,/DATA_init/nabirds/images_128/0489,129
0490,/DATA_init/nabirds/images_128/0490,130
0491,/DATA_init/nabirds/images_128/0491,131
0492,/DATA_init/nabirds/images_128/0492,132
0493,/DATA_init/nabirds/images_128/0493,133
0494,/DATA_init/nabirds/images_128/0494,134
0495,/DATA_init/nabirds/images_128/0495,135
0496,/DATA_init/nabirds/images_128/0496,136
0497,/DATA_init/nabirds/images_128/0497,137
0498,/DATA_init/nabirds/images_128/0498,138
0499,/DATA_init/nabirds/images_128/0499,139
0500,/DATA_init/nabirds/images_128/0500,140
0501,/DATA_init/nabirds/images_128/0501,141
0502,/DATA_init/nabirds/images_128/0502,142
0503,/DATA_init/nabirds/images_128/0503,143
0504,/DATA_init/nabirds/images_128/0504,144
0505,/DATA_init/nabirds/images_128/0505,145
0506,/DATA_init/nabirds/images_128/0506,146
0507,/DATA_init/nabirds/images_128/0507,147
0508,/DATA_init/nabirds/images_128/0508,148
0509,/DATA_init/nabirds/images_128/0509,149
0510,/DATA_init/nabirds/images_128/0510,150
0511,/DATA_init/nabirds/images_128/0511,151
0512,/DATA_init/nabirds/images_128/0512,152
0513,/DATA_init/nabirds/images_128/0513,153
0514,/DATA_init/nabirds/images_128/0514,154
0515,/DATA_init/nabirds/images_128/0515,155
0516,/DATA_init/nabirds/images_128/0516,156
